ID Items_count Cost Time State_count
granularity 1 
49,15,0.0000493480
ID Items_count Cost Time State_count
granularity 2 
49,15,0.0000497180
ID Items_count Cost Time State_count
granularity 3 
49,15,0.0000505880
ID Items_count Cost Time State_count
granularity 1 
49,15,0.0000497660
ID Items_count Cost Time State_count
granularity 2 
49,15,0.0000491350
ID Items_count Cost Time State_count
granularity 3 
49,15,0.0000837410
ID Items_count Cost Time State_count
granularity 5 
49,15,0.0000345510
ID Items_count Cost Time State_count
granularity 1 
15,15,0.0000475370,	1417
16,15,0.0000351520,	1502
17,15,0.0000338460,	1496
18,15,0.0000340080,	1215
19,15,0.0000333390,	1331
20,15,0.0000332310,	1540
21,15,0.0000334210,	1613
22,15,0.0000934060,	1697
23,15,0.0000344230,	1824
24,15,0.0000333010,	1353
25,15,0.0000341430,	1412
26,15,0.0000345670,	1309
27,15,0.0000341520,	1617
28,15,0.0000348080,	1588
29,15,0.0000336460,	1547
30,15,0.0000339890,	1519
31,15,0.0000340440,	1379
32,15,0.0000345830,	1462
33,15,0.0000339240,	1487
34,15,0.0000349010,	1487
35,15,0.0000340230,	1419
36,15,0.0000340440,	1594
37,15,0.0000457910,	1530
38,15,0.0000347000,	1379
39,15,0.0000341010,	1435
40,15,0.0000338070,	1201
41,15,0.0000335810,	1620
42,15,0.0000342490,	1328
43,15,0.0000341250,	1728
44,15,0.0000351090,	1652
45,15,0.0000350770,	1521
46,15,0.0000390260,	1545
47,15,0.0000504160,	1808
48,15,0.0000402550,	1498
49,15,0.0000390580,	1280
